fecha,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin
2011-07-07,23.8,0.0,17.0,30.6,30.0,7.2,15.6,14.3,954.0,951.3
2011-07-08,23.5,0.0,14.8,32.2,28.0,3.3,11.4,14.3,956.4,953.8
2011-07-09,26.0,0.0,18.5,33.5,26.0,5.0,11.1,14.3,957.6,954.5
2011-07-10,26.9,0.0,18.8,35.0,26.0,4.2,9.7,14.0,956.8,953.0
2011-07-11,27.0,0.0,17.0,37.0,27.0,3.6,10.8,14.2,954.3,950.7
2011-07-12,25.4,4.7,18.0,32.9,33.0,3.6,21.7,10.1,955.5,949.6
2011-07-13,22.0,0.0,15.3,28.6,3.0,2.5,12.2,10.9,960.5,955.2
2011-07-14,22.6,0.0,14.6,30.6,32.0,3.1,7.5,14.2,960.6,957.3
2011-07-15,25.4,0.0,16.4,34.4,28.0,3.3,9.7,14.0,961.2,956.5
2011-07-16,28.0,0.0,19.7,36.3,99.0,4.4,13.6,14.0,957.8,951.7
2011-07-17,26.0,0.0,19.6,32.3,26.0,5.0,13.9,13.7,952.4,949.7
2011-07-18,24.0,0.0,15.9,32.0,27.0,4.7,11.4,12.3,953.5,949.6
2011-07-19,24.2,0.0,18.8,29.5,34.0,4.7,11.7,12.6,957.4,949.6
2011-07-20,24.6,0.0,15.6,33.5,25.0,2.5,7.8,14.2,958.0,952.6
2011-07-21,28.0,0.0,19.8,36.1,99.0,3.6,9.4,14.1,953.4,948.1
2011-07-22,26.0,0.0,17.5,34.4,29.0,3.3,10.8,13.8,952.9,949.0
2011-07-23,25.6,0.0,17.7,33.5,25.0,4.7,11.4,12.6,956.8,952.8
2011-07-24,24.6,0.0,16.7,32.4,36.0,4.2,10.3,13.4,958.9,954.6
2011-07-25,25.8,0.0,17.7,33.9,28.0,2.2,8.3,13.8,957.8,953.2
2011-07-26,28.5,0.0,19.7,37.3,33.0,3.3,10.6,13.4,954.3,950.5
2011-07-27,27.6,0.0,19.7,35.4,10.0,4.4,10.3,13.7,955.9,953.0
2011-07-28,28.6,0.0,20.8,36.4,10.0,4.7,11.4,11.1,958.2,954.7
2011-07-29,28.6,0.0,20.7,36.6,26.0,5.0,11.9,12.5,957.6,953.5
2011-07-30,29.8,0.0,22.7,36.9,29.0,3.9,9.7,13.1,955.5,952.4
2011-07-31,28.7,0.0,20.6,36.8,34.0,3.3,11.9,13.3,954.7,950.0
2011-08-01,28.5,0.0,21.5,35.5,23.0,3.6,17.2,7.6,951.5,946.0
2011-08-02,24.6,0.0,19.1,30.1,26.0,4.2,10.8,9.2,958.3,951.4
2011-08-03,25.6,0.0,17.8,33.5,26.0,2.8,8.3,13.6,960.3,958.1
2011-08-04,27.9,0.0,19.4,36.4,29.0,3.1,10.0,13.4,960.0,955.6
2011-08-05,28.6,0.0,22.5,34.7,26.0,4.7,13.6,8.4,956.3,952.4
2011-08-06,26.4,0.0,19.7,33.1,27.0,6.9,15.6,13.6,954.1,950.4
2011-08-07,27.0,0.0,19.8,34.3,29.0,5.0,13.9,13.5,954.2,950.4
2011-08-08,27.5,0.0,19.8,35.2,5.0,3.3,9.7,13.7,960.0,954.2
2011-08-09,26.6,0.0,18.3,35.0,12.0,2.8,9.2,13.4,962.3,958.4
2011-08-10,28.6,0.0,20.4,36.9,10.0,3.9,10.3,12.5,961.6,956.0
2011-08-11,29.5,0.0,21.0,38.0,11.0,3.6,10.8,12.7,958.7,954.0
2011-08-12,28.6,5.7,20.8,36.3,27.0,5.0,11.7,7.0,956.8,951.5
2011-08-13,26.0,0.0,18.2,33.7,33.0,2.5,6.9,12.6,956.2,951.1
2011-08-14,28.9,0.0,21.4,36.4,30.0,4.2,12.2,12.5,954.2,951.4
2011-08-15,29.6,0.0,21.3,37.9,27.0,2.2,8.9,13.2,956.4,954.1
2011-08-16,29.6,0.0,19.6,39.5,30.0,2.5,9.2,13.2,957.5,953.2
2011-08-17,30.4,4.2,22.9,38.0,29.0,4.2,10.8,12.9,954.8,951.0
2011-08-18,30.2,0.0,21.6,38.8,25.0,4.4,18.6,10.9,953.9,950.0
2011-08-19,30.0,0.0,21.7,38.2,13.0,4.7,10.3,11.0,958.7,953.8
2011-08-20,32.2,1.1,24.4,39.9,17.0,4.7,21.7,9.6,960.1,954.7
2011-08-21,27.4,1.7,20.5,34.2,30.0,4.2,13.9,7.7,958.1,953.2
2011-08-22,24.4,0.0,18.5,30.3,29.0,3.3,9.2,12.7,957.8,955.5
2011-08-23,26.0,0.0,18.0,33.9,28.0,3.6,11.9,12.7,957.5,953.3
2011-08-24,25.4,0.0,18.2,32.5,30.0,3.6,9.2,13.0,957.1,953.8
2011-08-25,26.2,0.0,19.0,33.4,29.0,4.4,14.2,12.7,955.4,951.5
2011-08-26,23.2,0.0,17.9,28.4,26.0,6.7,13.9,12.7,958.8,952.1
2011-08-27,21.7,0.0,12.4,31.0,12.0,2.5,8.3,12.8,961.2,956.7
2011-08-28,25.8,0.0,17.5,34.0,28.0,3.6,10.0,12.6,959.0,955.6
2011-08-29,26.6,0.0,19.4,33.7,28.0,3.1,9.4,10.9,957.5,953.3
2011-08-30,26.2,0.0,18.9,33.5,26.0,3.3,11.1,12.2,955.4,951.4
2011-08-31,24.6,0.0,19.3,29.9,24.0,3.9,9.7,4.8,952.9,949.2
2011-09-01,23.2,4.2,17.8,28.6,25.0,1.1,16.9,6.8,954.2,950.3
2011-09-02,21.4,0.0,15.6,27.1,25.0,3.1,9.7,7.8,956.0,952.8
2011-09-03,21.1,0.0,14.4,27.8,28.0,4.4,11.1,7.5,955.8,953.0
2011-09-04,21.2,0.0,14.4,27.9,27.0,3.9,12.5,12.5,959.6,955.7
2011-09-05,22.8,0.0,15.0,30.5,32.0,1.7,6.9,12.5,963.9,959.5
